since,relative_seconds,rtt,bandwidth_kbps
0.000,0.000,40.00,0
0.000,0.000,40.00,0
1.000,1.000,40.00,0
2.000,2.000,40.00,0
3.000,3.000,40.00,0
5.000,5.000,40.00,0
6.000,6.000,40.00,104
7.000,7.000,40.00,11
8.000,8.000,40.00,0
9.000,9.000,40.00,0
10.000,10.000,40.00,0
11.000,11.000,40.00,0
12.000,12.000,40.00,80
13.000,13.000,40.00,1
14.000,14.000,40.00,285
15.000,15.000,40.00,275
16.000,16.000,40.00,2
17.000,17.000,40.00,1
18.000,18.000,40.00,553
19.000,19.000,40.00,10736
20.000,20.000,40.00,24549
22.000,22.000,40.00,24575
23.000,23.000,40.00,17676
24.000,24.000,40.00,24607
25.000,25.000,40.00,22311
26.000,26.000,40.00,16390
27.000,27.000,40.00,6313
28.000,28.000,40.00,0
29.000,29.000,40.00,0
30.000,30.000,40.00,0
31.000,31.000,40.00,0
32.000,32.000,40.00,0
33.000,33.000,40.00,17
34.000,34.000,40.00,1
36.000,36.000,40.00,3
37.000,37.000,40.00,0
38.000,38.000,40.00,2
39.000,39.000,40.00,0
40.000,40.000,40.00,0
41.000,41.000,40.00,0
42.000,42.000,40.00,0
43.000,43.000,40.00,0
44.000,44.000,40.00,0
45.000,45.000,40.00,0
46.000,46.000,40.00,0
47.000,47.000,40.00,0
48.000,48.000,40.00,0
50.000,50.000,40.00,0
51.000,51.000,40.00,0
52.000,52.000,40.00,0
53.000,53.000,40.00,0
54.000,54.000,40.00,0
55.000,55.000,40.00,2
56.000,56.000,40.00,2
57.000,57.000,40.00,0
58.000,58.000,40.00,2
59.000,59.000,40.00,0
60.000,60.000,40.00,0
61.000,61.000,40.00,0
62.000,62.000,40.00,0
64.000,64.000,40.00,0
65.000,65.000,40.00,0
66.000,66.000,40.00,45
67.000,67.000,40.00,0
68.000,68.000,40.00,0
69.000,69.000,40.00,0
70.000,70.000,40.00,0
71.000,71.000,40.00,0
72.000,72.000,40.00,18
73.000,73.000,40.00,0
74.000,74.000,40.00,0
75.000,75.000,40.00,2
76.000,76.000,40.00,0
78.000,78.000,40.00,3
79.000,79.000,40.00,6272
80.000,80.000,40.00,2645
81.000,81.000,40.00,1
82.000,82.000,40.00,0
83.000,83.000,40.00,0
84.000,84.000,40.00,0
85.000,85.000,40.00,0
86.000,86.000,40.00,0
87.000,87.000,40.00,15
88.000,88.000,40.00,0
89.000,89.000,40.00,0
90.000,90.000,40.00,0
92.000,92.000,40.00,0
93.000,93.000,40.00,0
94.000,94.000,40.00,0
95.000,95.000,40.00,0
96.000,96.000,40.00,0
96.000,96.000,40.00,0
97.000,97.000,40.00,2
98.000,98.000,40.00,0
99.000,99.000,40.00,0
100.000,100.000,40.00,2
101.000,101.000,40.00,0
102.000,102.000,40.00,0
103.000,103.000,40.00,0
104.000,104.000,40.00,0
105.000,105.000,40.00,0
107.000,107.000,40.00,4
108.000,108.000,40.00,0
108.000,108.000,40.00,0
109.000,109.000,40.00,0
110.000,110.000,40.00,0
111.000,111.000,40.00,0
112.000,112.000,40.00,0
113.000,113.000,40.00,0
114.000,114.000,40.00,0
115.000,115.000,40.00,0
116.000,116.000,40.00,0
117.000,117.000,40.00,2
118.000,118.000,40.00,0
120.000,120.000,40.00,2
121.000,121.000,40.00,0
121.000,121.000,40.00,0
122.000,122.000,40.00,2
123.000,123.000,40.00,0
124.000,124.000,40.00,105
125.000,125.000,40.00,14789
126.000,126.000,40.00,14213
127.000,127.000,40.00,5141
128.000,128.000,40.00,0
129.000,129.000,40.00,0
130.000,130.000,40.00,0
131.000,131.000,40.00,0
131.000,131.000,40.00,0
132.000,132.000,40.00,0
134.000,134.000,40.00,0
135.000,135.000,40.00,0
136.000,136.000,40.00,0
137.000,137.000,40.00,0
138.000,138.000,40.00,0
139.000,139.000,40.00,18
140.000,140.000,40.00,11
141.000,141.000,40.00,8
141.000,141.000,40.00,8
142.000,142.000,40.00,13549
143.000,143.000,40.00,3936
144.000,144.000,40.00,61
145.000,145.000,40.00,0
146.000,146.000,40.00,0
147.000,147.000,40.00,20792
149.000,149.000,40.00,0
150.000,150.000,40.00,0
151.000,151.000,40.00,0
152.000,152.000,40.00,0
152.000,152.000,40.00,0
153.000,153.000,40.00,0
154.000,154.000,40.00,0
155.000,155.000,40.00,0
156.000,156.000,40.00,0
157.000,157.000,40.00,0
158.000,158.000,40.00,0
159.000,159.000,40.00,2
160.000,160.000,40.00,0
161.000,161.000,40.00,2
163.000,163.000,40.00,0
164.000,164.000,40.00,2
165.000,165.000,40.00,0
166.000,166.000,40.00,0
167.000,167.000,40.00,0
168.000,168.000,40.00,0
169.000,169.000,40.00,0
170.000,170.000,40.00,0
171.000,171.000,40.00,0
172.000,172.000,40.00,12963
172.000,172.000,40.00,12963
173.000,173.000,40.00,11315
174.000,174.000,40.00,1
175.000,175.000,40.00,0
177.000,177.000,40.00,0
178.000,178.000,40.00,0
179.000,179.000,40.00,0
180.000,180.000,40.00,0
180.000,180.000,40.00,0
181.000,181.000,40.00,2
182.000,182.000,40.00,0
183.000,183.000,40.00,2
184.000,184.000,40.00,4
185.000,185.000,40.00,1
186.000,186.000,40.00,0
187.000,187.000,40.00,1
188.000,188.000,40.00,0
189.000,189.000,40.00,0
190.000,190.000,40.00,0
191.000,191.000,40.00,0
192.000,192.000,40.00,0
193.000,193.000,40.00,0
194.000,194.000,40.00,0
195.000,195.000,40.00,0
196.000,196.000,40.00,0
197.000,197.000,40.00,0
198.000,198.000,40.00,0
198.000,198.000,40.00,0
199.000,199.000,40.00,16
200.000,200.000,40.00,0
201.000,201.000,40.00,2
202.000,202.000,40.00,0
204.000,204.000,40.00,2
205.000,205.000,40.00,0
206.000,206.000,40.00,2
207.000,207.000,40.00,0
207.000,207.000,40.00,0
208.000,208.000,40.00,6
209.000,209.000,40.00,2
210.000,210.000,40.00,0
211.000,211.000,40.00,0
212.000,212.000,40.00,0
213.000,213.000,40.00,0
214.000,214.000,40.00,0
215.000,215.000,40.00,0
216.000,216.000,40.00,0
217.000,217.000,40.00,0
219.000,219.000,40.00,10036
220.000,220.000,40.00,6712
221.000,221.000,40.00,0
222.000,222.000,40.00,0
223.000,223.000,40.00,2
224.000,224.000,40.00,0
225.000,225.000,40.00,2
226.000,226.000,40.00,0
227.000,227.000,40.00,0
227.000,227.000,40.00,0
228.000,228.000,40.00,0
229.000,229.000,40.00,0
230.000,230.000,40.00,0
231.000,231.000,40.00,0
232.000,232.000,40.00,0
234.000,234.000,40.00,0
235.000,235.000,40.00,0
236.000,236.000,40.00,0
236.000,236.000,40.00,0
237.000,237.000,40.00,0
238.000,238.000,40.00,0
239.000,239.000,40.00,1
240.000,240.000,40.00,0
241.000,241.000,40.00,0
242.000,242.000,40.00,0
243.000,243.000,40.00,2
244.000,244.000,40.00,0
245.000,245.000,40.00,3
247.000,247.000,40.00,0
247.000,247.000,40.00,0
248.000,248.000,40.00,2
249.000,249.000,40.00,0
250.000,250.000,40.00,0
251.000,251.000,40.00,0
252.000,252.000,40.00,2
253.000,253.000,40.00,0
254.000,254.000,40.00,0
255.000,255.000,40.00,0
256.000,256.000,40.00,0
257.000,257.000,40.00,0
258.000,258.000,40.00,0
259.000,259.000,40.00,16
261.000,261.000,40.00,0
